Nombre;id del curso;URL_lMS;;;;;;;;;;;;;;;;;;;;;
Diseño y Desarrollo de Web;course-v1:ISILGO+201_DDW+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+201_DDW+2023/course/;;;;;;;;;;;;;;;;;;;;;
Reportes Ejecutivos con Excel;course-v1:ISILGO+202_EREE+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+202_EREE+2023/course/;;;;;;;;;;;;;;;;;;;;;
Métodos y Softwares Aplicados a la Gestión de Almacenamiento;course-v1:ISILGO+203_MSAG+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+203_MSAG+2023/course/;;;;;;;;;;;;;;;;;;;;;
Navegación y Posicionamiento Web;course-v1:ISILGO+204_NPW+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+204_NPW+2023/course/;;;;;;;;;;;;;;;;;;;;;
Cómo Reconocer Billetes Falsos;course-v1:ISILGO+205_TVCB+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+205_TVCB+2023/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a DeFi;course-v1:ISILGO+206_DEFI+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+206_DEFI+2023/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a la Blockchain;course-v1:ISILGO+207_IBC+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+207_IBC+2023/course/;;;;;;;;;;;;;;;;;;;;;
Introducción a Los NFTs;course-v1:ISILGO+208_NFT+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+208_NFT+2023/course/;;;;;;;;;;;;;;;;;;;;;
Transformación cultural con prácticas de Management 3.0;course-v1:ISILGO+209_TCPM+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+209_TCPM+2023/course/;;;;;;;;;;;;;;;;;;;;;
Gestión de compras y abastecimiento;course-v1:ISILGO+20_GCA+2021;https://manager.isilgo.com/courses/course-v1:ISILGO+20_GCA+2021/course/;;;;;;;;;;;;;;;;;;;;;
Utiliza OKRs y haz que tu equipo logre sus metas;course-v1:ISILGO+210_UOKR+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+210_UOKR+2023/course/;;;;;;;;;;;;;;;;;;;;;
Plan de negocios desde cero;course-v1:ISILGO+211_PNDC+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+211_PNDC+2023/course/;;;;;;;;;;;;;;;;;;;;;
Gestión de proyectos y tareas;course-v1:ISILGO+212_GPT+2023;https://manager.isilgo.com/courses/course-v1:ISILGO+212_GPT+2023/course/;;;;;;;;;;;;;;;;;;;;;
